"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003165311993","https://ae04.alicdn.com/kf/H06db16bb410b437cb37d87b557151957N.jpg",,"4k pocket drone Mini Quadcopter with HD Camera Rc WIFI FPV Rc racing Drone Helicopter DIY Assembly Toy remote control toys","USD 19.98","USD 9.99","50%","USD","8.0","USD 0.80","42","91.4%","https://s.click.aliexpress.com/e/_DecTdpN"
"32922989062","https://ae04.alicdn.com/kf/Hba96363cb01b4ef1a2470327ac5c9550F.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/50286676526.mp4","RC Car GTR/Lexus 4WD Drift Racing Car 2.4G Off Road Radio Remote Control Vehicle Championship Handle Electronic Car Hobby Toys","USD 61.98","USD 30.37","51%","USD","7","USD 2.13","83","92.5%","https://s.click.aliexpress.com/e/_DBEmyx9"
"33018519252","https://ae04.alicdn.com/kf/Sb95cb28ebe2f45d4ae5a2d3fa945ad76z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/226790360402.mp4","Eachine E016F 3-in-1 RC Quadcopter Drone Helicopter EPP Flying Air Boat Land Driving Mode Detachable One Key Return Toys RTF","USD 47.98","USD 24.95","48%","USD","3","USD 0.75","149","91.2%","https://s.click.aliexpress.com/e/_DlFcF0L"
"1005002571892774","https://ae04.alicdn.com/kf/Hd6d4e3bcda844f7eb900b376d8543313h.jpg",,"2021 New Mini RC Boat 2.4G 50 Meters Remote Control Distance Summer Water Splashing Electric MotorBoat Children's Toy Gift","USD 28.40","USD 16.76","41%","USD","7","USD 1.17","37","100.0%","https://s.click.aliexpress.com/e/_DCOVsnz"
"1005004451847225","https://ae04.alicdn.com/kf/S18aa19ac75e04bf5a276a50d59619154K.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100055941927.mp4","2.4G High Tech 11 Channels RC Excavator Dump Trucks Bulldozer Alloy Plastic Engineering Vehicle Electronic Toys For Boy Gifts","USD 63.56","USD 30.51","52%","USD","7","USD 2.14","318","100.0%","https://s.click.aliexpress.com/e/_DmoAdk7"
"1005003653263968","https://ae04.alicdn.com/kf/Hdecb5f55784445e6830f1c386c2dbc78v.jpg",,"4WD RC Racing Car 1:20 2.4GHz Electric Remote Control Off Road Vehicle High Speed Toy Christmas Gift","USD 25.70","USD 22.36","13%","USD","7","USD 1.57","21","88.6%","https://s.click.aliexpress.com/e/_Dk7AwKT"
"4000808843267","https://ae04.alicdn.com/kf/He78c1d48875d480c8970b72a606763b39.jpg",,"Children's Toy Simulation Copilots Steering Wheel Toys Car Remote Control Toys Early Education Learning Sounding Toys Kids Gifts","USD 12.59","USD 8.81","30%","USD","7","USD 0.62","276","96.4%","https://s.click.aliexpress.com/e/_DnqtyIx"
"1005002281002902","https://ae04.alicdn.com/kf/H387d67fc89d749a88263fa94d473e36bk.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/300521588860.mp4","RC animal infrared remote control Simulation insect model toys Electric robot Halloween Prank Insects kids toys spider bee fly","USD 42.25","USD 16.90","60%","USD","8.0","USD 1.35","68","99.4%","https://s.click.aliexpress.com/e/_DDDpBir"
"1005002610257645","https://ae04.alicdn.com/kf/S351897b0443f4e5cac482efdeda0551cD.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100033939524.mp4","WLtoys XK V950 K110S 2.4G 6CH 3D6G 1912 2830KV Brushless Motor Flybarless RC Helicopter RTF Remote Control Toys Gift","USD 179.88","USD 89.94","50%","USD","7","USD 6.30","23","88.6%","https://s.click.aliexpress.com/e/_DEmwROX"
"1005002742740419","https://ae04.alicdn.com/kf/Hba9edc8563f346e685ba735fc3111816X.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/334568837310.mp4","RC Crawler Car 2.4G 4CH Stunt Drift Buggy Double Sided Remote Control Electric Roll Mini High Speed 360 Degree Flip Kids Toy","USD 26.49","USD 15.63","41%","USD","8.0","USD 1.25","175","94.4%","https://s.click.aliexpress.com/e/_DEXgOwT"
